black
blue
brown
burgundy
carafe
chartreuse
cinnabar
cream
crimson
desertsun
dusty
gold
gray
green
ivory
jetblack
lime
lint
marsala
mimosa
orange
pink
puce
purple
red 
rose
rosewater
royal
sage
salmon
sand
scallopseashell
scarlet
seafoamgreen
serenity
silver
slate
spearmint
tan
tangerine
taupe
teal
tealgreen
tiffanyblue
tigerlily
turquoise
violet
white
whitesmoke
yellow
